Logical Quotient Rating,Coding Skills Rating,Communication Skills Rating,Self-learning Capability?,Worked in teams ever?,Reading and Writing Skills,Memory Capability Score,Hard/Smart worker,Management or Technical,Certifications,Interested Subjects,Workshops,Type of Company want to settle in?,Interested Career Area,Suggested Job Role
6,1,3,yes,yes,poor,excellent,hard worker,Technical,full stack,Computer Architecture,testing,BPA,system developer,Technical Support
2,2,4,yes,no,excellent,medium,smart worker,Technical,full stack,programming,testing,Service Based,Business process analyst,Technical Support
5,5,2,no,no,medium,excellent,smart worker,Management,distro making,programming,AWS,Web Services,system developer,Technical Support
1,5,9,no,no,medium,medium,hard worker,Management,python,distributed computing,testing,SAaS services,security,Technical Support
8,3,3,yes,no,excellent,poor,hard worker,Management,information security,Software Engineering,game development,BPA,Business process analyst,Technical Support
1,8,6,yes,no,excellent,poor,hard worker,Technical,information security,Software Engineering,ethical hacking,SAaS services,security,Technical Support
8,8,9,no,no,poor,excellent,smart worker,Management,full stack,distributed computing,system designing,product development,developer,Technical Support
1,7,4,yes,yes,excellent,poor,hard worker,Technical,shell programming,Software Engineering,database security,Web Services,cloud computing,Technical Support
8,4,6,yes,yes,poor,excellent,hard worker,Management,full stack,distributed computing,AWS,Service Based,security,Technical Support
2,7,3,yes,no,poor,poor,smart worker,Management,shell programming,networks,web technologies,Web Services,security,Technical Support
2,1,6,no,no,medium,poor,hard worker,Management,r programming,data engineering,testing,SAaS services,security,Technical Support
2,4,6,no,yes,poor,medium,hard worker,Management,distro making,IOT,system designing,Web Services,Business process analyst,Technical Support
9,1,3,yes,yes,poor,poor,hard worker,Technical,distro making,distributed computing,game development,Testing and Maintainance Services,system developer,Technical Support
9,9,5,yes,no,poor,medium,hard worker,Technical,r programming,Computer Architecture,system designing,Web Services,security,Technical Support
6,1,1,no,yes,excellent,poor,smart worker,Technical,r programming,Computer Architecture,game development,Service Based,system developer,Technical Support
7,4,4,yes,yes,excellent,excellent,hard worker,Technical,full stack,Management,system designing,Finance,testing,Technical Support
8,9,4,yes,yes,medium,poor,hard worker,Management,machine learning,hacking,system designing,Finance,developer,Technical Support
1,4,5,yes,no,medium,excellent,smart worker,Technical,full stack,data engineering,ethical hacking,Web Services,cloud computing,Technical Support
4,6,4,no,yes,poor,poor,hard worker,Technical,app development,Management,game development,Service Based,cloud computing,Technical Support
9,4,4,no,yes,poor,medium,smart worker,Technical,r programming,data engineering,system designing,Product based,cloud computing,Technical Support
1,4,5,no,yes,medium,excellent,smart worker,Management,shell programming,parallel computing,game development,Sales and Marketing,developer,Technical Support
3,5,5,yes,no,medium,excellent,hard worker,Technical,shell programming,networks,game development,Service Based,Business process analyst,Technical Support
2,3,1,yes,no,excellent,poor,smart worker,Management,r programming,Management,ethical hacking,BPA,cloud computing,Technical Support
7,7,4,no,no,medium,poor,hard worker,Technical,hadoop,IOT,AWS,Finance,cloud computing,Technical Support
5,6,1,no,no,medium,excellent,hard worker,Technical,r programming,Computer Architecture,system designing,Cloud Services,developer,Technical Support
3,3,6,yes,yes,excellent,medium,smart worker,Management,hadoop,Computer Architecture,ethical hacking,Service Based,testing,Technical Support
4,5,6,no,yes,poor,poor,smart worker,Management,r programming,Computer Architecture,data science,Testing and Maintainance Services,testing,Technical Support
5,8,8,yes,yes,medium,medium,smart worker,Management,machine learning,distributed computing,system designing,Web Services,security,Technical Support
6,2,9,yes,yes,poor,medium,hard worker,Management,python,hacking,web technologies,Web Services,security,Technical Support
2,6,2,no,no,excellent,poor,hard worker,Technical,shell programming,parallel computing,system designing,SAaS services,system developer,Technical Support
3,1,1,no,no,excellent,poor,hard worker,Management,information security,networks,database security,Finance,testing,Technical Support
4,5,5,yes,no,poor,poor,smart worker,Technical,app development,IOT,database security,Testing and Maintainance Services,testing,Technical Support
9,5,7,no,no,medium,excellent,smart worker,Management,full stack,Software Engineering,AWS,Cloud Services,system developer,Technical Support
5,4,9,yes,yes,poor,excellent,smart worker,Technical,python,data engineering,ethical hacking,Product based,system developer,Technical Support
5,1,4,no,yes,medium,medium,smart worker,Technical,hadoop,distributed computing,testing,Testing and Maintainance Services,system developer,Technical Support
9,5,4,yes,no,excellent,medium,smart worker,Technical,shell programming,distributed computing,game development,product development,cloud computing,Technical Support
4,6,6,no,no,poor,poor,hard worker,Technical,python,Computer Architecture,testing,Product based,cloud computing,Technical Support
2,4,1,yes,no,poor,poor,hard worker,Management,machine learning,Software Engineering,data science,Sales and Marketing,security,Technical Support
7,7,3,yes,no,poor,medium,smart worker,Technical,app development,distributed computing,web technologies,Web Services,developer,Technical Support
5,7,9,no,yes,medium,poor,hard worker,Management,machine learning,data engineering,ethical hacking,Service Based,system developer,Technical Support
4,8,6,no,no,medium,medium,hard worker,Technical,hadoop,hacking,data science,Finance,security,Technical Support
2,8,7,yes,no,medium,excellent,smart worker,Management,information security,Computer Architecture,ethical hacking,Testing and Maintainance Services,developer,Technical Support
4,3,8,no,yes,excellent,excellent,smart worker,Technical,hadoop,parallel computing,AWS,Sales and Marketing,Business process analyst,Technical Support
8,6,2,yes,no,medium,poor,smart worker,Management,hadoop,parallel computing,ethical hacking,BPA,testing,Technical Support
3,9,7,no,yes,poor,excellent,smart worker,Technical,r programming,parallel computing,web technologies,product development,developer,Technical Support
9,2,3,yes,no,medium,poor,hard worker,Management,distro making,distributed computing,testing,Testing and Maintainance Services,testing,Technical Support
1,3,1,yes,no,medium,medium,smart worker,Technical,hadoop,distributed computing,system designing,Finance,developer,Technical Support
3,8,3,yes,yes,excellent,medium,smart worker,Management,shell programming,data engineering,database security,Cloud Services,security,Technical Support
8,6,3,yes,no,excellent,excellent,hard worker,Technical,distro making,parallel computing,web technologies,Testing and Maintainance Services,developer,Technical Support
6,5,8,no,yes,excellent,excellent,smart worker,Technical,information security,data engineering,testing,product development,developer,Technical Support
3,4,7,yes,no,poor,medium,hard worker,Management,full stack,distributed computing,testing,BPA,developer,UX Designer
7,8,9,yes,yes,excellent,excellent,hard worker,Management,shell programming,Computer Architecture,database security,Product based,Business process analyst,UX Designer
8,8,1,no,no,medium,medium,hard worker,Technical,hadoop,Computer Architecture,database security,Service Based,cloud computing,UX Designer
8,4,4,no,yes,excellent,poor,smart worker,Management,information security,IOT,testing,Testing and Maintainance Services,security,UX Designer
5,8,5,yes,no,poor,excellent,smart worker,Management,distro making,data engineering,system designing,Sales and Marketing,security,UX Designer
6,1,4,no,no,medium,excellent,hard worker,Management,machine learning,networks,data science,Service Based,system developer,UX Designer
8,5,1,yes,yes,poor,medium,smart worker,Technical,distro making,distributed computing,web technologies,Product based,developer,UX Designer
7,2,4,yes,no,medium,excellent,hard worker,Management,distro making,distributed computing,game development,Cloud Services,system developer,UX Designer
5,8,4,yes,yes,poor,poor,hard worker,Technical,r programming,Software Engineering,AWS,Service Based,cloud computing,UX Designer
1,7,9,yes,yes,medium,medium,smart worker,Technical,information security,data engineering,game development,Web Services,Business process analyst,UX Designer
9,2,1,no,no,poor,excellent,smart worker,Technical,hadoop,parallel computing,testing,Service Based,Business process analyst,UX Designer
8,7,1,no,yes,poor,medium,hard worker,Management,information security,programming,database security,Testing and Maintainance Services,Business process analyst,UX Designer
6,5,7,yes,no,poor,excellent,smart worker,Technical,r programming,Software Engineering,ethical hacking,SAaS services,developer,UX Designer
1,3,8,yes,no,medium,poor,hard worker,Management,distro making,Software Engineering,data science,SAaS services,system developer,UX Designer
8,4,9,yes,no,poor,excellent,smart worker,Management,shell programming,programming,game development,Cloud Services,Business process analyst,UX Designer
1,4,1,yes,no,medium,poor,smart worker,Management,full stack,data engineering,database security,Sales and Marketing,security,UX Designer
9,6,4,no,no,poor,poor,smart worker,Technical,shell programming,Computer Architecture,ethical hacking,Cloud Services,Business process analyst,UX Designer
6,5,1,yes,yes,poor,excellent,smart worker,Technical,shell programming,Computer Architecture,web technologies,BPA,security,UX Designer
1,2,6,no,no,medium,excellent,hard worker,Management,full stack,Computer Architecture,ethical hacking,Cloud Services,system developer,UX Designer
3,2,6,yes,no,poor,poor,hard worker,Management,full stack,Management,web technologies,Product based,testing,UX Designer
4,9,5,no,yes,excellent,excellent,smart worker,Management,shell programming,programming,database security,product development,developer,UX Designer
8,3,7,no,no,excellent,medium,smart worker,Technical,shell programming,data engineering,ethical hacking,Testing and Maintainance Services,system developer,UX Designer
9,5,1,yes,yes,medium,poor,smart worker,Technical,r programming,data engineering,system designing,Cloud Services,security,UX Designer
9,8,8,no,yes,excellent,medium,hard worker,Technical,python,programming,AWS,Service Based,cloud computing,UX Designer
6,7,9,yes,yes,medium,poor,smart worker,Technical,shell programming,programming,game development,Cloud Services,Business process analyst,UX Designer
3,2,6,yes,yes,excellent,excellent,smart worker,Technical,full stack,parallel computing,testing,Product based,security,UX Designer
7,7,7,yes,no,medium,medium,hard worker,Management,machine learning,IOT,testing,Web Services,system developer,UX Designer
5,7,3,yes,yes,medium,poor,smart worker,Management,shell programming,networks,AWS,Product based,developer,UX Designer
5,5,4,yes,yes,medium,excellent,smart worker,Management,app development,Management,database security,Finance,system developer,UX Designer
5,8,9,yes,no,excellent,medium,hard worker,Management,machine learning,networks,game development,BPA,cloud computing,UX Designer
5,5,1,yes,no,poor,poor,hard worker,Management,information security,IOT,system designing,product development,security,UX Designer
7,8,6,yes,yes,medium,poor,hard worker,Technical,r programming,Computer Architecture,game development,product development,developer,UX Designer
4,6,4,no,yes,excellent,excellent,smart worker,Technical,shell programming,Computer Architecture,ethical hacking,Cloud Services,security,UX Designer
1,4,2,yes,no,poor,poor,smart worker,Management,machine learning,networks,web technologies,Web Services,security,UX Designer
1,2,1,no,yes,excellent,medium,hard worker,Management,shell programming,data engineering,ethical hacking,SAaS services,cloud computing,UX Designer
3,7,1,no,no,medium,medium,hard worker,Management,machine learning,Management,ethical hacking,BPA,security,UX Designer
6,7,7,no,no,medium,medium,hard worker,Technical,r programming,IOT,database security,SAaS services,Business process analyst,UX Designer
2,4,8,no,yes,medium,poor,hard worker,Management,python,hacking,database security,SAaS services,system developer,UX Designer
3,7,3,yes,yes,medium,excellent,smart worker,Technical,distro making,Software Engineering,database security,product development,testing,UX Designer
9,3,7,no,yes,excellent,excellent,hard worker,Management,distro making,IOT,testing,Web Services,cloud computing,UX Designer
4,3,1,yes,yes,medium,medium,hard worker,Management,information security,programming,web technologies,Sales and Marketing,testing,UX Designer
9,7,7,yes,no,poor,excellent,smart worker,Management,hadoop,distributed computing,AWS,Cloud Services,cloud computing,UX Designer
8,2,9,yes,yes,excellent,excellent,smart worker,Technical,information security,data engineering,database security,Sales and Marketing,testing,UX Designer
1,3,4,no,no,poor,excellent,smart worker,Management,hadoop,IOT,AWS,SAaS services,system developer,UX Designer
8,5,2,yes,no,medium,medium,smart worker,Management,hadoop,Software Engineering,testing,Web Services,system developer,UX Designer
9,1,4,yes,yes,poor,poor,smart worker,Technical,python,Software Engineering,system designing,Service Based,developer,UX Designer
2,2,3,yes,no,poor,poor,hard worker,Management,information security,distributed computing,data science,SAaS services,system developer,UX Designer
6,2,4,no,yes,poor,excellent,hard worker,Management,python,Management,database security,BPA,security,UX Designer
7,1,4,no,no,excellent,excellent,hard worker,Technical,information security,Computer Architecture,game development,Product based,Business process analyst,UX Designer
6,4,4,yes,no,medium,poor,hard worker,Management,full stack,Computer Architecture,ethical hacking,SAaS services,cloud computing,UX Designer
9,8,6,yes,yes,poor,excellent,hard worker,Technical,machine learning,distributed computing,game development,BPA,cloud computing,UX Designer
2,9,7,yes,no,medium,medium,smart worker,Management,python,Management,game development,BPA,security,UX Designer
6,8,9,no,yes,medium,medium,smart worker,Management,distro making,networks,AWS,Service Based,system developer,UX Designer
8,3,5,no,no,excellent,medium,smart worker,Management,full stack,IOT,testing,Testing and Maintainance Services,cloud computing,UX Designer
9,1,4,no,yes,excellent,medium,hard worker,Technical,full stack,Management,web technologies,Cloud Services,developer,UX Designer
9,7,8,yes,no,medium,poor,hard worker,Technical,full stack,Software Engineering,ethical hacking,SAaS services,system developer,UX Designer
1,4,6,no,yes,medium,medium,hard worker,Technical,information security,Software Engineering,web technologies,Finance,Business process analyst,UX Designer
7,2,7,no,yes,poor,poor,hard worker,Technical,app development,data engineering,AWS,Web Services,system developer,UX Designer
7,3,9,no,yes,poor,medium,smart worker,Management,shell programming,parallel computing,testing,Web Services,testing,UX Designer
5,6,4,yes,no,poor,poor,hard worker,Management,python,hacking,system designing,product development,cloud computing,UX Designer
5,2,2,no,no,excellent,excellent,hard worker,Technical,python,parallel computing,web technologies,Web Services,testing,UX Designer
6,8,7,yes,yes,medium,medium,hard worker,Technical,information security,programming,database security,Finance,security,UX Designer
2,8,7,yes,yes,excellent,excellent,smart worker,Management,machine learning,Software Engineering,ethical hacking,Web Services,cloud computing,UX Designer
8,8,3,yes,yes,poor,excellent,hard worker,Management,shell programming,hacking,system designing,product development,cloud computing,UX Designer
3,9,7,yes,yes,excellent,excellent,hard worker,Management,hadoop,Computer Architecture,testing,SAaS services,Business process analyst,UX Designer
9,2,8,no,no,excellent,medium,hard worker,Technical,information security,parallel computing,database security,Finance,developer,UX Designer
3,9,7,yes,no,medium,medium,hard worker,Management,r programming,Management,system designing,Product based,cloud computing,UX Designer
8,8,1,yes,yes,excellent,medium,smart worker,Management,shell programming,distributed computing,testing,SAaS services,Business process analyst,UX Designer
7,7,3,yes,no,poor,poor,smart worker,Management,information security,hacking,data science,BPA,developer,UX Designer
2,9,3,no,yes,medium,excellent,hard worker,Management,information security,hacking,AWS,Web Services,security,UX Designer
6,3,8,yes,yes,excellent,poor,smart worker,Technical,shell programming,IOT,web technologies,Cloud Services,developer,UX Designer
2,9,8,yes,no,poor,medium,hard worker,Technical,r programming,hacking,game development,Web Services,security,UX Designer
1,4,9,yes,yes,excellent,poor,smart worker,Management,r programming,Computer Architecture,ethical hacking,product development,Business process analyst,UX Designer
4,1,8,no,no,medium,medium,hard worker,Technical,python,programming,system designing,product development,cloud computing,UX Designer
2,8,2,no,no,excellent,poor,hard worker,Technical,python,IOT,game development,Sales and Marketing,Business process analyst,UX Designer
5,2,5,yes,no,excellent,excellent,smart worker,Management,app development,Software Engineering,ethical hacking,BPA,Business process analyst,UX Designer
5,6,2,no,no,excellent,poor,smart worker,Technical,machine learning,IOT,database security,Sales and Marketing,security,UX Designer
3,9,8,yes,yes,excellent,medium,smart worker,Technical,app development,programming,game development,BPA,developer,UX Designer
4,3,5,no,no,medium,poor,smart worker,Technical,app development,distributed computing,testing,Finance,cloud computing,UX Designer
5,2,2,no,yes,medium,medium,smart worker,Management,full stack,data engineering,database security,Web Services,system developer,UX Designer
1,5,8,no,yes,excellent,poor,hard worker,Management,app development,parallel computing,system designing,SAaS services,security,UX Designer
3,7,4,yes,yes,poor,medium,hard worker,Management,python,Computer Architecture,testing,Testing and Maintainance Services,developer,UX Designer
7,6,4,yes,no,poor,poor,hard worker,Technical,app development,programming,game development,Web Services,security,UX Designer
7,7,3,yes,no,medium,medium,hard worker,Technical,distro making,data engineering,testing,Finance,testing,UX Designer
8,5,5,yes,yes,poor,medium,hard worker,Management,full stack,IOT,ethical hacking,Sales and Marketing,cloud computing,UX Designer
3,1,2,yes,no,medium,excellent,hard worker,Technical,machine learning,distributed computing,ethical hacking,Testing and Maintainance Services,cloud computing,UX Designer
1,2,2,yes,no,poor,medium,hard worker,Management,r programming,IOT,data science,Product based,Business process analyst,UX Designer
1,6,5,no,yes,poor,medium,smart worker,Management,shell programming,Computer Architecture,game development,Finance,developer,UX Designer
9,4,3,no,no,medium,poor,hard worker,Technical,hadoop,hacking,system designing,Finance,Business process analyst,UX Designer
1,7,8,no,yes,poor,excellent,smart worker,Technical,app development,Management,database security,BPA,developer,UX Designer
9,2,9,no,yes,excellent,excellent,hard worker,Technical,app development,Computer Architecture,data science,product development,testing,UX Designer
4,6,6,no,yes,excellent,medium,smart worker,Management,hadoop,networks,database security,product development,Business process analyst,UX Designer
5,7,5,no,yes,medium,excellent,hard worker,Technical,python,data engineering,database security,Product based,testing,UX Designer
7,1,5,yes,no,poor,poor,hard worker,Technical,machine learning,networks,ethical hacking,SAaS services,testing,UX Designer
6,5,1,no,yes,excellent,excellent,hard worker,Technical,hadoop,Software Engineering,web technologies,Web Services,Business process analyst,UX Designer
7,7,2,yes,yes,medium,excellent,smart worker,Management,python,parallel computing,data science,product development,Business process analyst,UX Designer
9,2,8,yes,no,excellent,excellent,hard worker,Technical,distro making,parallel computing,system designing,Cloud Services,testing,UX Designer
7,3,7,no,no,medium,medium,hard worker,Management,python,Computer Architecture,web technologies,Testing and Maintainance Services,system developer,UX Designer
6,4,9,yes,no,medium,poor,smart worker,Management,machine learning,distributed computing,ethical hacking,Web Services,Business process analyst,UX Designer
6,4,4,yes,yes,excellent,excellent,hard worker,Management,information security,parallel computing,data science,Sales and Marketing,cloud computing,UX Designer
8,1,3,no,no,excellent,medium,hard worker,Management,app development,Management,system designing,Testing and Maintainance Services,security,Web Developer
1,2,3,yes,yes,poor,poor,smart worker,Management,information security,Management,database security,Product based,cloud computing,Web Developer
1,8,7,no,no,poor,medium,smart worker,Technical,shell programming,Computer Architecture,game development,Cloud Services,Business process analyst,Web Developer
8,9,1,yes,no,poor,poor,smart worker,Management,hadoop,Computer Architecture,game development,Web Services,developer,Web Developer
5,5,7,no,yes,excellent,excellent,hard worker,Management,hadoop,parallel computing,data science,product development,cloud computing,Web Developer
2,1,4,yes,no,poor,excellent,hard worker,Management,shell programming,parallel computing,data science,Sales and Marketing,security,Web Developer
5,8,9,no,yes,medium,excellent,hard worker,Management,machine learning,Software Engineering,data science,Cloud Services,testing,Web Developer
6,3,1,yes,no,medium,poor,smart worker,Technical,python,Computer Architecture,web technologies,Web Services,cloud computing,Web Developer
6,6,6,no,no,poor,poor,hard worker,Management,python,hacking,data science,Product based,security,Web Developer
6,4,7,no,no,poor,medium,hard worker,Management,full stack,IOT,testing,Web Services,Business process analyst,Web Developer
3,6,2,no,yes,excellent,poor,hard worker,Technical,python,distributed computing,system designing,BPA,system developer,Web Developer
8,2,1,yes,yes,excellent,excellent,hard worker,Technical,hadoop,networks,data science,Sales and Marketing,system developer,Web Developer
6,3,8,yes,no,excellent,medium,hard worker,Technical,information security,data engineering,system designing,Product based,security,Web Developer
4,6,1,no,no,poor,medium,smart worker,Management,shell programming,data engineering,game development,product development,Business process analyst,Web Developer
1,2,1,no,yes,medium,poor,hard worker,Management,r programming,Management,database security,Sales and Marketing,cloud computing,Web Developer
2,3,9,no,yes,medium,excellent,smart worker,Management,shell programming,Software Engineering,game development,Finance,testing,Web Developer
4,5,8,no,yes,poor,excellent,hard worker,Technical,shell programming,distributed computing,game development,BPA,Business process analyst,Web Developer
7,6,8,yes,yes,excellent,medium,smart worker,Technical,shell programming,IOT,game development,Service Based,system developer,Web Developer
2,1,8,no,yes,excellent,excellent,smart worker,Management,shell programming,parallel computing,AWS,BPA,system developer,Web Developer
6,4,3,no,no,medium,excellent,hard worker,Technical,python,IOT,ethical hacking,Testing and Maintainance Services,developer,Web Developer
9,6,5,yes,yes,medium,excellent,smart worker,Management,full stack,data engineering,system designing,Web Services,testing,Web Developer
7,6,4,no,yes,medium,excellent,hard worker,Management,python,Software Engineering,data science,Sales and Marketing,testing,Web Developer
4,4,9,yes,yes,poor,poor,smart worker,Technical,app development,distributed computing,system designing,SAaS services,developer,Web Developer
9,5,1,yes,no,medium,excellent,hard worker,Management,distro making,distributed computing,testing,SAaS services,cloud computing,Web Developer
8,3,9,no,yes,medium,medium,smart worker,Technical,python,hacking,system designing,Web Services,Business process analyst,Web Developer
4,3,6,no,yes,medium,medium,smart worker,Technical,r programming,Management,testing,Product based,cloud computing,Web Developer
5,3,3,no,no,excellent,medium,smart worker,Technical,information security,Management,database security,Testing and Maintainance Services,system developer,Web Developer
4,3,2,yes,yes,medium,excellent,hard worker,Management,r programming,programming,testing,Testing and Maintainance Services,developer,Web Developer
7,8,5,yes,yes,medium,medium,hard worker,Technical,distro making,distributed computing,testing,SAaS services,developer,Web Developer
5,9,2,yes,no,medium,poor,smart worker,Management,r programming,data engineering,database security,Finance,system developer,Web Developer
3,6,5,no,no,excellent,poor,smart worker,Technical,shell programming,Software Engineering,ethical hacking,Cloud Services,developer,Web Developer
7,9,1,no,yes,medium,poor,smart worker,Management,shell programming,hacking,web technologies,Product based,system developer,Web Developer
9,5,6,yes,yes,excellent,excellent,hard worker,Technical,full stack,IOT,data science,SAaS services,testing,Web Developer
5,7,7,no,yes,medium,medium,smart worker,Technical,hadoop,hacking,game development,BPA,cloud computing,Web Developer
5,8,6,no,no,excellent,medium,hard worker,Management,machine learning,data engineering,data science,Finance,testing,Web Developer
3,8,7,yes,no,poor,medium,smart worker,Technical,machine learning,distributed computing,game development,Product based,Business process analyst,Web Developer
5,7,3,no,no,excellent,medium,hard worker,Technical,r programming,hacking,web technologies,SAaS services,developer,Web Developer
7,3,3,yes,yes,poor,excellent,hard worker,Technical,information security,Management,testing,Sales and Marketing,system developer,Web Developer
6,7,3,no,yes,excellent,poor,hard worker,Technical,machine learning,hacking,AWS,BPA,security,Web Developer
3,6,1,yes,yes,medium,medium,hard worker,Management,app development,data engineering,system designing,Sales and Marketing,cloud computing,Web Developer
3,3,3,no,yes,excellent,medium,hard worker,Management,machine learning,IOT,web technologies,Sales and Marketing,developer,Web Developer
3,3,5,no,yes,excellent,poor,hard worker,Technical,shell programming,Computer Architecture,web technologies,Web Services,developer,Web Developer
2,6,1,no,no,poor,poor,smart worker,Technical,shell programming,Computer Architecture,ethical hacking,Product based,testing,Web Developer
3,1,3,yes,no,poor,medium,hard worker,Management,distro making,Computer Architecture,game development,Sales and Marketing,cloud computing,Web Developer
5,4,7,no,no,poor,poor,smart worker,Management,full stack,networks,system designing,product development,security,Web Developer
3,6,3,no,yes,poor,excellent,smart worker,Management,r programming,networks,system designing,Web Services,system developer,Web Developer
8,5,4,yes,no,poor,medium,smart worker,Management,distro making,Computer Architecture,ethical hacking,Sales and Marketing,developer,Web Developer
4,9,7,yes,yes,poor,medium,hard worker,Management,hadoop,hacking,testing,Web Services,Business process analyst,Web Developer
2,3,5,no,yes,excellent,excellent,smart worker,Technical,distro making,data engineering,game development,Web Services,testing,Web Developer
6,1,9,no,no,excellent,excellent,hard worker,Management,information security,programming,data science,Product based,system developer,Web Developer
4,7,1,no,yes,medium,medium,hard worker,Technical,full stack,hacking,data science,Service Based,Business process analyst,Web Developer
3,3,5,yes,yes,poor,medium,smart worker,Technical,full stack,data engineering,AWS,Finance,Business process analyst,Web Developer
6,8,5,yes,yes,poor,excellent,smart worker,Technical,information security,programming,ethical hacking,Finance,Business process analyst,Web Developer
7,9,5,no,no,poor,excellent,hard worker,Technical,app development,distributed computing,web technologies,SAaS services,testing,Web Developer
4,5,9,no,no,excellent,medium,hard worker,Technical,distro making,networks,data science,Product based,Business process analyst,Web Developer
6,8,3,yes,no,poor,poor,hard worker,Technical,hadoop,networks,ethical hacking,product development,system developer,Web Developer
5,1,6,no,yes,excellent,medium,smart worker,Management,machine learning,parallel computing,testing,BPA,system developer,Web Developer
8,9,3,yes,yes,medium,poor,hard worker,Technical,distro making,parallel computing,system designing,Testing and Maintainance Services,testing,Web Developer
6,7,7,no,no,medium,medium,hard worker,Technical,python,Software Engineering,testing,Cloud Services,cloud computing,Web Developer
3,3,7,yes,yes,poor,excellent,smart worker,Management,hadoop,data engineering,system designing,BPA,testing,Web Developer
5,3,9,yes,yes,excellent,excellent,smart worker,Technical,distro making,parallel computing,database security,Cloud Services,cloud computing,Web Developer
7,1,6,yes,no,excellent,excellent,smart worker,Technical,distro making,data engineering,web technologies,Web Services,Business process analyst,Web Developer
2,8,5,no,no,medium,medium,hard worker,Technical,r programming,Software Engineering,web technologies,Web Services,testing,Web Developer
4,2,4,yes,yes,excellent,poor,hard worker,Technical,full stack,data engineering,ethical hacking,Web Services,Business process analyst,Web Developer
7,7,1,no,yes,medium,medium,hard worker,Technical,python,Software Engineering,AWS,Product based,developer,Web Developer
2,5,5,no,yes,medium,poor,hard worker,Technical,machine learning,IOT,system designing,Service Based,Business process analyst,Web Developer
4,9,3,yes,no,excellent,poor,hard worker,Management,information security,data engineering,testing,Product based,system developer,Web Developer
9,1,2,no,yes,poor,medium,smart worker,Technical,app development,programming,system designing,Service Based,testing,Web Developer
3,6,3,yes,no,poor,poor,smart worker,Management,machine learning,networks,game development,Finance,developer,Web Developer
7,8,1,yes,yes,excellent,excellent,hard worker,Technical,distro making,parallel computing,AWS,BPA,system developer,Web Developer
4,5,9,yes,yes,medium,poor,smart worker,Management,full stack,networks,AWS,Web Services,developer,Web Developer
2,7,8,yes,no,medium,medium,hard worker,Technical,app development,hacking,AWS,SAaS services,Business process analyst,Web Developer
4,4,6,yes,yes,poor,poor,smart worker,Management,information security,IOT,system designing,Web Services,Business process analyst,Web Developer
7,5,4,yes,yes,medium,medium,smart worker,Management,hadoop,Management,web technologies,Sales and Marketing,security,Web Developer
7,7,8,no,yes,medium,excellent,hard worker,Management,hadoop,IOT,testing,Finance,developer,Web Developer
6,2,2,no,no,poor,medium,hard worker,Technical,machine learning,distributed computing,AWS,Product based,developer,Web Developer
8,4,1,yes,yes,poor,poor,hard worker,Technical,machine learning,Management,database security,Cloud Services,developer,Web Developer
6,4,7,no,yes,medium,medium,smart worker,Technical,distro making,Software Engineering,data science,Service Based,developer,Web Developer
7,1,1,no,yes,poor,excellent,hard worker,Management,python,Software Engineering,database security,Product based,developer,Web Developer
8,6,5,no,yes,excellent,medium,smart worker,Management,machine learning,networks,web technologies,Product based,developer,Web Developer
9,2,8,no,yes,excellent,poor,hard worker,Technical,information security,parallel computing,system designing,Cloud Services,developer,Web Developer
7,6,8,yes,yes,medium,poor,hard worker,Management,python,Management,AWS,Service Based,system developer,Web Developer
3,6,9,no,yes,poor,excellent,hard worker,Management,python,networks,testing,Cloud Services,testing,Web Developer
7,7,8,yes,no,excellent,medium,smart worker,Management,information security,IOT,game development,Service Based,developer,Web Developer
6,1,1,no,no,medium,excellent,hard worker,Technical,machine learning,Computer Architecture,database security,Cloud Services,developer,Web Developer
6,7,9,no,yes,excellent,medium,hard worker,Technical,shell programming,hacking,testing,Finance,Business process analyst,Web Developer
8,8,6,no,no,poor,poor,hard worker,Technical,distro making,networks,game development,Sales and Marketing,system developer,Web Developer
5,5,6,yes,no,excellent,medium,hard worker,Management,distro making,hacking,web technologies,product development,developer,Web Developer
1,4,1,yes,no,poor,excellent,hard worker,Technical,machine learning,Software Engineering,AWS,Web Services,developer,Web Developer
8,6,9,no,no,medium,excellent,hard worker,Management,shell programming,IOT,web technologies,Cloud Services,cloud computing,Web Developer
2,6,6,yes,no,poor,excellent,smart worker,Management,full stack,IOT,data science,Testing and Maintainance Services,developer,Web Developer
4,3,9,yes,no,excellent,poor,hard worker,Management,information security,hacking,database security,SAaS services,developer,Web Developer
9,9,9,yes,yes,poor,excellent,hard worker,Management,full stack,hacking,web technologies,Product based,cloud computing,Web Developer
5,9,6,no,yes,medium,medium,smart worker,Technical,information security,Management,testing,BPA,testing,Web Developer
9,3,6,yes,yes,medium,poor,smart worker,Management,app development,Management,ethical hacking,Web Services,security,Web Developer
7,6,1,yes,no,poor,poor,smart worker,Management,shell programming,Software Engineering,ethical hacking,Testing and Maintainance Services,testing,Web Developer
6,1,5,no,no,excellent,excellent,hard worker,Management,machine learning,programming,ethical hacking,Testing and Maintainance Services,testing,Web Developer
5,6,9,yes,yes,poor,poor,hard worker,Technical,distro making,IOT,data science,Cloud Services,system developer,Web Developer
1,4,7,no,no,poor,excellent,smart worker,Technical,app development,data engineering,game development,SAaS services,developer,Web Developer
5,2,5,no,yes,excellent,medium,smart worker,Management,information security,Computer Architecture,database security,Sales and Marketing,security,Web Developer
